cluster_id,complaint_count,pending_ratio,high_priority_ratio,medium_or_high_ratio,avg_density_score,risk_score,risk_level,dominant_category,center_lat,center_lng
13,16,0.3125,0.0,0.3125,0.001058606260668219,0.1879234425042673,LOW,Pothole,40.68838554429985,-73.9819345773279
49,28,0.25,0.07142857142857142,0.35714285714285715,0.0016679190111023713,0.18281002474729807,LOW,Pothole,40.651061819992954,-73.97732669875431
43,10,0.3,0.0,0.3,0.0013977099217149398,0.18055908396868597,LOW,Pothole,40.70282303215235,-73.73932069464146
76,10,0.3,0.0,0.3,0.00054919832795238,0.18021967933118094,LOW,Water Supply,40.63249628096035,-74.03251568004113
17,67,0.29850746268656714,0.07462686567164178,0.29850746268656714,0.0025556876877203785,0.18012675268702844,LOW,Water Supply,40.75735818201765,-73.86683360498239
78,17,0.29411764705882354,0.0,0.29411764705882354,0.004190069814442095,0.17814661616107097,LOW,Waste,40.68104147151751,-73.79242217236173
42,58,0.29310344827586204,0.017241379310344827,0.29310344827586204,0.0008667372646531207,0.17620876387137846,LOW,Waste,40.64289621744416,-74.00290576211289
22,214,0.22429906542056074,0.028037383177570093,0.2523364485981308,0.053742934269356696,0.16448782791335015,LOW,Water Supply,40.69438523762551,-73.91579556874457
92,11,0.2727272727272727,0.0,0.2727272727272727,0.0006950827915425182,0.1639143967529806,LOW,Pothole,40.646575304666435,-73.90009895137023
80,11,0.2727272727272727,0.09090909090909091,0.2727272727272727,0.0005621027375653819,0.16386120473138976,LOW,Pothole,40.63507889753213,-73.9150212849131
38,11,0.2727272727272727,0.09090909090909091,0.2727272727272727,0.0005385136457745454,0.16385176909467342,LOW,Waste,40.72680588304838,-73.825128139673
37,39,0.2564102564102564,0.1794871794871795,0.2564102564102564,0.0006272993695641359,0.15409707359397948,LOW,Pothole,40.78397366966562,-73.97708560766553
44,28,0.10714285714285714,0.0,0.10714285714285714,0.21523358031002235,0.15037914640972322,LOW,Water Supply,40.60447525594039,-74.08002189576139
81,16,0.25,0.0625,0.25,0.000552197918207625,0.15022087916728305,LOW,Pothole,40.83136150070917,-73.85877831573805
63,8,0.25,0.0,0.25,0.000504133211917475,0.15020165328476698,LOW,Waste,40.81482932650956,-73.9166672929426
2,672,0.23065476190476192,0.13839285714285715,0.23065476190476192,0.02336365623134039,0.1477383196353933,LOW,Pothole,40.76744499074944,-73.97051585431895
36,33,0.24242424242424243,0.12121212121212122,0.24242424242424243,0.0007186773625374728,0.14574201639956044,LOW,Waste,40.70141106378857,-73.79099440220686
